index,score_scale,score_binary,full_text
14,-0.75,"[[1, -4]]","Chamado pelo novo presidente da Fundação Palmares , Sérgio Nascimento de Camargo, de vagabundo, Martinho da Vila reagiu:
-Como enxerga o racismo do negro contra negro?
-Tem bastante, e é triste. O racismo é uma doença, e esse rapaz está em estado terminal. https://t.co/p1H56uCAUt"
15,-0.75,"[[1, -4]]",RT @folha: Ideias de novo presidente da Fundação Palmares assemelham-se com as de judeus nazistas; leia mais no blog Quadro-Negro (@dodoaze…
16,-0.75,"[[1, -4]]","RT @jose_simao: O Moro virou um botão de emergência, botão do pànico. Toda vez que os bozos estão enrolados, APERTA O MORO!"
17,-0.75,"[[2, -5]]","Depois do susto do avanço fascista na Espanha, uma boa notícia:
PSOE y Podemos firman el acuerdo para un “Gobierno rotundamente progresista”, con Iglesias de vicepresidente https://t.co/fc62ufFNl3 via @elpais_espana"
18,-0.75,"[[1, -4]]","Temos um completo despreparado no comando! Omissão criminosa!!
O plano para conter derrames de petróleo que não foi acionado pelo governo federal para o Nordeste | Desastre Ambiental: petróleo nas praias do Nordeste | G1 https://t.co/LRhToRFIb0"
19,-0.75,"[[1, -4]]","RT @LulaOficial: “Eu poderia não estar aqui. Resolvi vir para cá porque eu preciso provar que o Moro é mentiroso, teve um comportamento can…"
20,-0.75,"[[1, -4]]","Triste a troca de mensagens dos promotores sobre a família de Lula. Realmente faltavam sobriedade e isenção e sobravam preconceito e ódio. As mortes da esposa, do irmão e do neto não foram minimamente respeitadas."
21,-0.75,"[[1, -4]]",Ministro da Educação curte publicação com ameaça de morte a estudantes https://t.co/mCN1tC1BRl via @UOLNoticias @UOL
22,-0.75,"[[1, -4]]","RT @rguilhermeds: Se Bozo for pego espancando uma criança de 2 anos:

Reações

O Antagonista:
""Ele agiu em legítima defesa""

Terça Livre:…"
23,-0.75,"[[1, -4]]","Miriam Leitão: “Bolsonaro mostra que os militares sempre mentiram sobre os crimes da ditadura. É hora de lembrar o que disse o grande Ulysses Guimarães ao promulgar a nossa Carta Magna: “Temos ódio à ditadura, ódio e nojo”. Ontem foi o dia de sentir nojo.” https://t.co/dblWju93Wr"
24,-0.75,"[[1, -4]]","“As falas de Bolsonaro sobre o Inpe e Miriam Leitão são mentirosas. A fala sobre a Ancine é autoritária. A fala sobre os governadores nordestinos é preconceituosa. A Folha, ao tratá-las como polêmicas ou controversas, acaba normalizando seus absurdos”. 
https://t.co/asz9jz8dXv"
25,-0.75,"[[2, -5]]",Um fascista intelectualmente limitado continua sendo um fascista e precisa ser contido enquanto houver tempo. A escalada autoritária dos últimos dias não tem precedente no período democrático e conta com apoio numeroso de zumbis robotizados. A liberdade vai vencer sempre. https://t.co/9pu6EU85vq
26,-0.75,"[[1, -4]]","RT @MarceloFreixo: Que move Bolsonaro? Ódio, farsa, preconceito, fanatismo. Em 24h, atacou nordestinos, tripudiou dos brasileiros que passa…"
27,-0.75,"[[1, -4]]","RT @KennedyAlencar: Racista, ignorante, mentiroso, autoritário, nepotista, persecutório, mal-educado, despreparado… que absurdo presidencia…"
28,-0.75,"[[1, -4]]","RT @FlavioDino: Algumas marcas vão se fortalecendo:
1) pequenos grupos de direita cada vez mais extremistas e violentos; até entre eles mes…"
29,-0.75,"[[1, -4]]","RT @gugachacra: Exército do Brasil homenageou Major alemão que lutou no Exército nazista. É o que diz, inclusive, o próprio texto do jornal…"
30,-0.75,"[[1, -4]]","RT @fnpacheco: Reinaldo Azevedo criticou o PT por 13 anos. Após um artigo contra Bozo, foi ameaçado de morte.
Marco Villa massacrou o PT po…"
31,-0.75,"[[1, -4]]","RT @GeorgMarques: Ódio à ciência: A pesquisa da Fiocruz custou R$ 7 milhões aos cofres públicos, mas o estudo foi engavetado pq o atual gov…"
32,-0.75,"[[1, -4]]",Bozo inútil https://t.co/zz5RqExiVO
33,-0.75,"[[1, -4]]",@caiorearte2 É pro Bozo entender
34,-0.75,"[[1, -4]]","RT @reinaldoazevedo: Grosseiro e medíocre, ministro da Educação fere Carta e Lei de Improbidade https://t.co/RtRqliHa1e via @UOLNoticias @U…"
35,-0.75,"[[1, -4]]","Bolsonaro trocou um ministro da Educação ridículo por outro ridículo e autoritário:
“MEC cortará verba de universidade por ‘balbúrdia’ e ‘bagunça’”: 
https://t.co/s4GV5tXCD9"
36,-0.75,"[[1, -4]]","Sob Bolsonaro, sobe o risco de termos políticas públicas traçadas sem base em dados de realidade: “a silenciosa (e triste) apatia do Brasil ante o corte de 25% no Censo 2020”
https://t.co/ksgALsIuKq"
37,-0.75,"[[1, -4]]","RT @gugachacra: O Holocausto é imperdoável. O genocídio cometido pelo regime nazista matou 6 milhões de judeus em escala industrial, além d…"
38,-0.75,"[[1, -4]]","RT @MarceloAdnet: O presidente eleito com discurso de combate ao bandido está comemorando abertamente assassinato, tortura e diversos outro…"
39,-0.75,"[[1, -4]]","RT @cynaramenezes: a nova face do fascismo é misógina, racista, homofóbica e tem ódio ao pobre https://t.co/cpR1HBpk0I"
40,-0.75,"[[1, -4]]",RT @TheInterceptBr: Datena e o jornalismo mundo cão vendem o ódio bolsonarista há 3 décadas na TV https://t.co/PTcGfwodyQ por @jornalismowa…
41,-0.75,"[[1, -4]]","Um problema das fake news é que elas se transformam muito rapidamente em bad news:
Mais da metade dos LGBT diz ter sofrido violência desde as eleições https://t.co/Zfbuqsq1dJ"
42,-0.75,"[[1, -4]]",RT @GeorgMarques: A face do bolsonarismo e o ódio à ciência: o medo de uma pesquisadora e especialista na área de Segurança Pública como Il…
43,-0.75,"[[1, -4]]",RT @paulobetti3: Os brasileiros se dividem hoje entre : os que exigem justiça aos assassinos de Marielle e os que a mataram.
44,-0.75,"[[1, -4]]",RT @PaolaCarosella: A morte de um jovem negro em mãos de um segurança gera infinitamente menos indignação revolta e raiva que a morte de um…
45,-0.75,"[[1, -4]]","RT @xicosa: primoroso texto de @mariomagalhaes_ Lição de jornalismo c/ a História a nos guiar pelo retrovisor: 
A prisão de Lula, o ódio de…"
46,-0.75,"[[1, -4]]",Belo artigo: O atual ministro da Educação acredita nos nossos alunos? As consequências das desastrosas declarações sobre elite intelectual. https://t.co/1iijlu0JlP
47,-0.75,"[[1, -4]]","Livro Didático: Bozo recua em menos de 24h. Recorde! 
https://t.co/kdmBDwlSyA"
48,-0.75,"[[1, -4]]",RT @GuilhermeBoulos: Bolsonaro atacou o MTST e o MST agora na Record. O presidente eleito manteve o discurso de ódio do candidato. É import…
49,-0.75,"[[1, -4]]",TSE autoriza investigação contra Haddad por shows de Roger Waters - Confesso que amo Pink Floyd e odeio ditaduras: seria isso um crime? https://t.co/0WtWSluBgO
50,-0.75,"[[2, -5]]","O meu adversário diz que entende de segurança mas como disse @MarceloFreixo ele só sabe falar de medo, ódio e raiva. Proposta que é bom, quem tem somos nós. https://t.co/diSYIa8miY"
51,-0.75,"[[1, -4]]",Não aprende. Mentiroso. Passou a campanha fugindo do debate por isso. A palavra desse homem não para em pé. https://t.co/6yiYA0CTQe
52,-0.75,"[[1, -4]]","Quero pedir ao povo brasileiro que não se deixe levar pelo ódio e pela mentira. Sou um professor que vive de salário, com 18 anos de serviços prestados ao Brasil. Vamos virar essa eleição, corrigir os erros e retomar os acertos. O ódio não vai levar o Brasil a lugar nenhum."
53,-0.75,"[[1, -4]]","Bolsonaro não é capaz de enfrentar um debate. Está há 28 anos no Congresso só vomitando ódio. Desejo muita saúde a ele, porque já que não aprendeu nada nos últimos 30 anos, que viva mais 30 porque um dia ele vai aprender. Um dia ele vai aprender."
54,-0.75,"[[1, -4]]","Nossa proposta para a segurança é objetiva. Hoje, a atribuição da segurança pública é dos governos estaduais. E nós defendemos a Polícia Federal no combate ao crime organizado, liberando as polícias militares para combater crimes de roubo, homicídios e estupros. #HaddadNoSBT"
55,-0.75,"[[1, -4]]","O Brasil que vivemos por 12 anos juntos não tem nada a ver com as mentiras de Bolsonaro. Resgate na sua memória como era sua vida a pouco tempo atrás. Não deixe o ódio cegar, vamos reconstruir esse país juntos. #Haddad13 https://t.co/VzPIvcSGVl"
56,-0.75,"[[1, -4]]","Ninguém quer dar mole pra bandido, mas a solução não é armar a população. O caminho é a Polícia Federal assumir o combate ao crime organizado."
57,-0.75,"[[1, -4]]","Jair Bolsonaro não tem qualificação para ser deputado, quanto mais presidente. São 513 deputados e ele, sem sombra de dúvida, disputa como pior parlamentar."
58,-0.75,"[[1, -4]]","A candidatura do deputado Jair Bolsonaro é vazia de propostas assim como seu mandato foi durante quase 30 anos de Congresso. Por isso, ele tem promovido uma campanha mentirosa e precisamos da sua ajuda para combater a campanha do ódio e da desinformação. Denuncie: 11 974028726 https://t.co/pubDbsDegB"
59,-0.75,"[[1, -4]]","Bolsonaro é mentiroso. Porque ele não me pergunta sobre kit gay no debate? É uma mentira deslavada de quem não tem projeto, só pensa em botar arma na mão da população para ela se matar."
60,-0.75,"[[1, -4]]","Meu adversário tem 28 anos na Câmara dos Deputados destilando ódio, o tempo inteiro, contra nordestino, contra mulher, contra petista. Ele é um homem impróprio para o debate democrático."
61,-0.75,"[[1, -4]]","Meu adversário defende torturador até hoje, mesmo sabendo que nos porões da ditadura aconteciam estupros contra as mulheres presas."
62,-0.75,"[[1, -4]]",Um dia amargo para a democracia. A cultura do ódio precisa ser interrompida urgentemente. https://t.co/P3Haq8gCM7
63,-0.75,"[[1, -4]]",Desde que chegamos ao governo o que precisa ser investigado é investigado doa a quem doer. O que não pode é partidarizar a Justiça. Não pode um juiz perseguir os inimigos e ajudar os amigos. #HaddadÉ13 #DebateNaGlobo
64,-0.75,"[[1, -4]]","Eu queria alertar a todos, se alguém receber mensagem mentirosa, ligue para nós, denuncie. Eles estão espalhando mentiras contra a família, contra a escola pública, contra professoras... Não deixe prosperar as mentiras no WhatsApp. https://t.co/WFuMLjGzan"
65,-0.75,"[[1, -4]]","Notícia mentirosa: Por 2º turno, PT e PSL já cortejam Meirelles via @UOLPolitica @UOL  https://t.co/Tn3YzkEnqZ"
66,-0.75,"[[1, -4]]","Espero que o PSDB não vá sabotar o governo eleito como fez em 2014. O presidente do PSDB assumiu essa culpa ontem. Admitiu um crime contra a democracia, admitiu aprovar uma pauta contra o país. #HaddadNoJN"
67,-0.75,"[[1, -4]]",Em 2016 esse país tirou uma presidenta legitimamente eleita para colocar o Michel Temer. Da mesma forma em 2016 elegeram João Dória. O golpe transformou o PT no demônio do país. E pergunte aos eleitores se hoje eles não se arrependem. #HaddadNoJN
68,-0.75,"[[1, -4]]","Investigado por investigado, a Rede Globo é investigada. #HaddadNoJN"
69,-0.75,"[[1, -4]]","STF absolve por unanimidade Gleisi de acusação de propina na Lava Jato. Como reparar todos os constrangimentos que essa guerreira sofreu ao longo de anos? Os milionários delatores mentirosos perderão suas regalias?
https://t.co/hYHLvF1xzL"
70,-0.75,"[[2, -5]]","RT @MidiaNINJA: Em Curitiba, milhares de brasileiras e brasileiros estão na Praça Santos Andrade para grande ato de Dia dos Trabalhadores e…"
71,-0.75,"[[1, -4]]",Jornalismo Nutella: Dória culpa Tribunal de Contas pelo seu desempenho e o que faz a Folha dois dias depois? Matéria atacando o tribunal: “Tribunal de Contas da cidade de SP acumula mordomia e supersalários”. https://t.co/2DnS3JhwyF via @folha
72,-0.75,"[[1, -4]]",Gestão Doria leva 50% mais tempo para resolver problemas de zeladoria do 156. Adivinha em quem a atual gestão pôs a culpa. https://t.co/xfq07x8Qi3
73,-0.5,"[[1, -3]]","RT @Savagefiction: Silvio Santos é a expressão do racismo cordial: adora ter pretos por perto, se diverte enquanto zomba das suas caracterí…"
74,-0.5,"[[2, -4]]","De mal a pior: 'Rock leva ao aborto e ao satanismo', diz novo presidente da Funarte https://t.co/1oiyMbPl5w"
75,-0.5,"[[1, -3]]",Artigo de Bruno Ramos sobre Paraisópolis: a única política de Estado pra quebrada é o terror https://t.co/ElGhOn700T
76,-0.5,"[[1, -3]]","Memória: Em outubro de 2018, a Folha distribuiu comunicado interno em que afirmava não haver, na disputa eleitoral brasileira, nenhuma candidatura que se enquadrasse na categoria de “extrema direita”.  Vale reler o texto da Ombudsman Paula Cesarino Costa. 
https://t.co/k4RdVq2oTZ"
77,-0.5,"[[1, -3]]","Integrantes da Força-Tarefa da Lavajato eram corrompidos para proteger investigados, revelam diálogos interceptados pela PF. Propina chegava a R$ 200 mil por mês!
https://t.co/Pmk5q3WuGY via @UOLNoticias @UOL"
78,-0.5,"[[1, -3]]","RT @tarsogenro: Oi Marta, é o caso em que opacote é pior que nada: estimula demissão dos + velhos, substituíveis por + jovens, com salários…"
79,-0.5,"[[1, -3]]","RT @gduvivier: quando um ladrão armado “pede” um celular, é assalto. quando o exército “pede” uma renúncia, é golpe."
80,-0.5,"[[1, -3]]","RT @_pinheira: Não é sobre gostar ou não do PT, estúpido!
Não é sobre gostar do Lula.
Não é sobre aprovar o governo Dilma.
É sobre essa gan…"
81,-0.5,"[[1, -3]]","RT @KennedyAlencar: Começou a história de igualar Lula a Bolsonaro. É a falsa isenção, o falso equilíbrio. Lula é um moderado de esquerda c…"
82,-0.5,"[[1, -3]]","O STF já declarou que:
1) a condução coercitiva de Lula foi ilegal;
2) o vazamento das conversas com a Dilma foi ilegal;
3) o impedimento de que Lula tomasse posse como ministro foi manipulado.
Falta declarar:
4) a suspeição de Moro por parcialidade."
83,-0.5,"[[1, -3]]",Mitômano - Bolsonaro dá 1 declaração falsa ou imprecisa a cada 4 dias; veja o Bolsonômetro https://t.co/lC6MGdbd46
84,-0.5,"[[1, -3]]",RT @gduvivier: aquelas lives q o lula fazia as 4 da manhã ameaçando não renovar concessão de tv que fazia jornalismo podre https://t.co/xwE…
85,-0.5,"[[1, -3]]","TheGuardian: Fakenews durante a eleição no Brasil favoreceram Bolsonaro: Em uma amostra de 11.957 mensagens virais compartilhadas em 296 grupos de WhatsApp no período da campanha, aproximadamente 42% dos itens da direita continham informações falsas.
https://t.co/f4nCmbjLAG"
86,-0.5,"[[1, -3]]","Minha coluna da semana sobre o papel do STF e as ameaças velada ou não que vem sofrendo. 
https://t.co/Ey0arLJ5Vs"
87,-0.5,"[[1, -3]]",RT @LulaOficial: “De uma vez por todas é preciso afirmar: quem investigou a morte de Celso Daniel foi a Polícia Civil de São Paulo e a Polí…
88,-0.5,"[[2, -4]]","#SallesCriminoso: Sem chefe por 6 meses, departamento de emergências ambientais ganhou diretor 35 dias após crise das manchas começar | Desastre Ambiental: petróleo nas praias do Nordeste | G1 https://t.co/Hf0s5JxQAf"
89,-0.5,"[[1, -3]]","RT @nytimes: In Opinion

Timothy Snyder writes: Hitler and the Nazis found a simple slogan they repeated again and again to discredit repor…"
90,-0.5,"[[1, -3]]","RT @revistapiaui: ""Efeito Bolsonaro"" afasta turistas europeus do Brasil e prejudica negócios. Maria da Silva, chefe de produto numa agência…"
91,-0.5,"[[1, -3]]",RT @camposmello: Operadoras devem informar ao TSE linhas de agências suspeitas de disparos pelo WhatsApp - pedido do juiz mostra que não qu…
92,-0.5,"[[1, -3]]","Membros da Lava Jato ligados à Receita Federal extorquiam empresários investigados e lavavam dinheiro com imóveis, viagens e até bike de luxo.  https://t.co/2wtV5NKENg via @UOLNoticias @UOL"
93,-0.5,"[[1, -3]]","RT @LiraNeto_: Bolsonaro arrasou no discurso da ONU! Arrasou com o que restava de nossa reputação internacional. Uma fala tosca, mal redigi…"
94,-0.5,"[[2, -4]]","RT @jeferson: Uma das cenas mais patéticas da história da ONU: Bolsonaro ficou 1 hora no corredor esperando Trump passar para conversar, co…"
95,-0.5,"[[1, -3]]",RT @laurentinogomes: Para quem acha que a morte de uma menina negra de oito anos com um tiro pelas costas no RJ foi mero acidente. Do meu n…
96,-0.5,"[[1, -3]]","Entrevista que dei a CBN para o Kennedy Alencar, Roberto Nonato Paula Martini: ‘Se a gente começar a se ofender, a gente não vai longe’, diz Haddad https://t.co/6zn8mc7ipX"
97,-0.5,"[[1, -3]]","RT @folha: Drauzio Varella @drauziovarella | Mal começamos a entender a diversidade sexual humana, vozes medievais emergiram das catacumbas…"
98,-0.5,"[[1, -3]]","Depois de Crivella, Doria sofre derrota por ação obscurantista. https://t.co/Lp9ThzOo4f"
99,-0.5,"[[1, -3]]","RT @LulaOficial: No dia 16 de março de 2016, o juiz Sérgio Moro não só cometeu um crime. Produziu uma farsa, enganando todo o Brasil, para…"
100,-0.5,"[[1, -3]]","Alberto Goldman era um democrata. Em tempos sombrios, sua ausência será sentida ainda mais."
101,-0.5,"[[1, -3]]",Minha coluna desta semana fala do combate à corrupção antes da LavaJato. https://t.co/dWGAmkPPXm
102,-0.5,"[[1, -3]]","RT @laurojardim: ""New York Times"" chama Bolsonaro de ""o menor e mais insignificante dos líderes"" | Lauro Jardim - O Globo https://t.co/zZ9J…"
103,-0.5,"[[1, -3]]","RT @APellegrino1: O fato de uma pessoa tentar ofender uma mulher por sua aparência física, por si só já é vergonhoso. Quando essa pessoa é…"
104,-0.5,"[[1, -3]]","Amazônia em chamas: Durante discurso sobre Amazônia na TV, Bolsonaro estava em show de comédia https://t.co/3sY6m0xHtW via @UOLNoticias @UOL"
105,-0.5,"[[1, -3]]",A maior ameaça concreta à soberania nacional é o próprio Bolsonaro e seu governo antinacional e antissocial. Devia parar de falar e agir para conter os estragos que já promoveu.
106,-0.5,"[[1, -3]]",RT @Marcelodedois: Alguém ainda tem dúvidas de que esse é o falso Messias que a Bíblia falou ? Queima Babylonia https://t.co/Bl7jpI1CZ8
107,-0.5,"[[1, -3]]","RT @LulaOficial: #TimeLula traduz: Brasil (antes do golpe) era líder contra mudanças climáticas, agora (com Bolsonaro) é ameaça. #PrayforAm…"
108,-0.5,"[[1, -3]]",RT @MarinaSilva: A Amazônia está em chamas. O Ministro do Meio Ambiente fala em fake news e sensacionalismo. O presidente diz que ONGs pode…
109,-0.5,"[[1, -3]]",RT @dailypunch81: O maligno sendo retratado em charges mundiais https://t.co/Pwcbraa0YV
110,-0.5,"[[1, -3]]","Bolsonaro afirmou que o erro da ditadura brasileira foi não ter matado 30 mil, não por coincidência o número de mortos pela ditadura argentina. Macri jamais poderia ter se aproximado de Bolsonaro. Um insulto à memória que lá não se aceita como aqui."
111,-0.5,"[[1, -3]]","Se isso não tiver consequência, nada mais terá. A República à mercê de delinquentes. 
Lava Jato planejou buscar na Suíça provas contra Gilmar Mendes | Brasil | EL PAÍS Brasil https://t.co/izyeVX0Jt3"
112,-0.5,"[[1, -3]]",Bolsonaro transfere oceanógrafo especialista em golfinhos de Fernando de Noronha para sertão de Pernambuco. Motivação gera suspeita de conluio com empresários. https://t.co/qd13Wf2e86
113,-0.5,"[[1, -3]]","Fascismo em marcha forçada:
Presidente da OAB recebe ameaça e pede que PF investigue https://t.co/K6wjGysMZM"
114,-0.5,"[[1, -3]]","RT @lucasfferraz: Conversei com Gherardo Colombo, único juiz italiano que atuou na Mãos Limpas do início ao fim, sobre corrupção, Lava Jato…"
115,-0.5,"[[1, -3]]","RT @andrefran: Olha o nível...
Só hoje tivemos NYTimes, Washington Post e CNN condenando os ataques de Bolsonaro a Glenn Greenwald e à libe…"
116,-0.5,"[[1, -3]]","Acuado por escândalos em série envolvendo familiares e ministros, Bolsonaro será uma ameaça permanente às instituições. 
'No meu entender, cometeu crime', diz Bolsonaro sobre Glenn Greenwald | Política | G1 https://t.co/MfJ3ShoQyw"
117,-0.5,"[[1, -3]]",Vejo isso como uma ameaça do presidente da República ao presidente da OAB. Grotesco! https://t.co/MRxWAMS66G
118,-0.5,"[[1, -3]]","Enquanto negociava cargo no governo, Moro agia politicamente nas eleições. Como pode permanecer na função? 
Moro achava fraca delação de Palocci que divulgou às vésperas de eleição, sugerem mensagens https://t.co/GBFadyt4ry"
119,-0.5,"[[1, -3]]","RT @elpais_brasil: O Brasil assumiu o lugar da China como vilão ambiental. Neste sábado, o presidente brasileiro declarou que apenas “vegan…"
120,-0.5,"[[1, -3]]","RT @Haddad_Fernando: Minha coluna da semana na Folha sobre os ataques do governo à ciência e à cultura.  
https://t.co/wBQ3JOFiEZ"
121,-0.5,"[[1, -3]]",RT @ggreenwald: @davidmirandario A teoria dele é insana: casei com David 14 anos atrás pq eu previa que precisaria disso no futuro. E suger…
122,-0.5,"[[1, -3]]","RT @ggreenwald: Ao contrário dos desejos de Bolsonaro, ele não é (ainda) um ditador. Ele não tem o poder de ordenar pessoas presas. Ainda e…"
123,-0.5,"[[1, -3]]","A impressão que eu tenho é de que Deltan não dava palestras propriamente, mas vendia relações e informações privilegiadas para empresas investigadas e bancos, respectivamente."
124,-0.5,"[[1, -3]]","Minha coluna da semana na Folha sobre os ataques do governo à ciência e à cultura.  
https://t.co/wBQ3JOFiEZ"
125,-0.5,"[[1, -3]]",RT @iago_une: Em quem devemos confiar: no que diz que vai destruir as provas ou na que coloca seu celular à disposição da justiça? #EuApoio…
126,-0.5,"[[1, -3]]","Moro foi impedido de destruir ilegalmente provas contra si. Seria irônico se agora, além da @folha e da @VEJA, a própria PF atestasse a autenticidade das mensagens da #VazaJato. @SF_Moro tic-tac https://t.co/i95IcPJnRQ"
127,-0.5,"[[1, -3]]","RT @ggreenwald: Sergio Moro pode destruir - de novo - a evidência que eles têm. Mas ele não pode destruir a evidência que nos temos, nem im…"
128,-0.5,"[[1, -3]]","RT @folha: Bruno Boghossian | Quando era deputado, Bolsonaro afirmava que a solução para a fome, a miséria e a violência era esterilizar os…"
129,-0.5,"[[1, -3]]","RT @JamilChade: Aliado aos piores regimes do mundo, membro de movimentos racistas, incapaz de desenhar a fronteira entre religião e estado…"
130,-0.5,"[[1, -3]]","RT @ggreenwald: O Brasil quer ser um país governado por falsificações primitivas, desinformação e notícias falsas? Não importa a sua ideolo…"
131,-0.5,"[[1, -3]]","RT @luizguiprado: @CarlosBolsonaro Porra Carlos, existe uma diferença enorme entre correntes de ar frio (fenômenos regionais e temporários)…"
132,-0.5,"[[1, -3]]","Em entrevista de 2015, irmão de Bolsonaro disse que o pai nunca deixou os filhos trabalharem. Jair não só mentiu sobre trabalho infantil como entendeu que a recomendação era para a vida toda. https://t.co/b4f2sB94Jg"
133,-0.5,"[[1, -3]]","Moro age para intimidar o jornalista que o investiga. Prática é comum em ditaduras. Glenn disse que não recua, apesar das ameaças. Moro, na Câmara, reconhece ‘algumas’ das mensagens divulgadas. https://t.co/71MN4fk3tF"
134,-0.5,"[[2, -4]]",RT @LulaOficial: Moro é mentiroso. Dallagnol é mentiroso.  E a Globo está tentando salvar os dois. #LulaLivreDomingoSDV https://t.co/wc6WfU…
135,-0.5,"[[1, -3]]","Fernando Haddad
Flávio Dino
Guilherme Boulos
Ricardo Coutinho
Roberto Requião
Sônia Guajajara 
Opinião: A corrupção da Lava Jato https://t.co/KaIe4RlKt9"
136,-0.5,"[[1, -3]]",RT @LulaOficial: Juristas europeus assinam manifesto pela liberdade de Lula e contra a farsa que foi seu julgamento por Moro. #LulaLivreSeg…
137,-0.5,"[[1, -3]]",Lilia Schwarcz: “O Judiciário foi usado como vingança e impediu que a democracia siga seu curso” https://t.co/mjU78csAJX via @elpais_brasil
138,-0.5,"[[1, -3]]","Diálogo de Moro é ilegal, imoral e vetado no mundo todo, dizem juristas https://t.co/saRQ6IDYxs via @UOLNoticias @UOL"
139,-0.5,"[[1, -3]]",Ministério Público vê violações  à Constituição em bozonota do MEC que ameaça estudantes. https://t.co/l8ip6lvgqO
140,-0.5,"[[1, -3]]","Entrevista que dei ao @Brasil_de_Fato: o ataque não é apenas contra a educação, mas contra toda reflexão crítica. https://t.co/Avdsje2vPq"
141,-0.5,"[[1, -3]]","“Quando certa manhã Gregor Samsa, que era uma barata gigante, acordou de sonhos intranquilos, encontrou-se em sua cama metamorfoseado numa espécie monstruosa de presidente da República”. Franz Kafta
https://t.co/TmOVBGKxYK"
142,-0.5,"[[1, -3]]",Jair Bolsonaro e seu filho Flávio nomearam doze parentes inúteis na Câmara e na Alerj em suposto esquema de “rachadinha” investigado pelo Ministério Público Federal https://t.co/rYaITiPxRp
143,-0.5,"[[1, -3]]","Novos casos suspeitos: É preciso investigar a evolução patrimonial dos Bolsonaro 
https://t.co/U7tcQIzwpy"
144,-0.5,"[[1, -3]]",RT @folha: ENTREVISTA NA PRISÃO | Lula foi condenado por corrupção e lavagem de dinheiro no caso do tríplex de Guarujá. O ex-presidente fal…
145,-0.5,"[[1, -3]]","RT @folha: ENTREVISTA NA PRISÃO | Lula foi condenado por corrupção e lavagem de dinheiro no caso do tríplex de Guarujá. Em entrevista, o ex…"
146,-0.5,"[[1, -3]]","RT @ManuelaDavila: 1)Parece ignorância mas é um projeto: o governo tomou medidas para destruir o cinema nacional, os teatros, os museus. Li…"
147,-0.5,"[[1, -3]]","O Rasputin tupiniquim continua aprontando:
“Ataque de Olavo a militares faz aliados de Bolsonaro falarem em situação limite”. 
https://t.co/nRjtOswMY8"
148,-0.5,"[[1, -3]]","Marcha à ré: Bolsonaro volta atrás e deleta do seu canal vídeo com ataques de Olavo a militares. 
https://t.co/hD0jYEiRta"
149,-0.5,"[[1, -3]]","Bolsonaro, na campanha eleitoral, mentiu sobre Petrobras e diz, agora, ter 'simpatia inicial' por privatização da companhia. 
https://t.co/1lKc31YaJC"
150,-0.5,"[[1, -3]]","RT @LulaOficial: “Para tirar o PT do governo, classes dominantes atacaram a democracia, abalaram as instituições e quem sofre é o povo”. Ma…"
151,-0.5,"[[1, -3]]","RT @FlavioDino: Crescem na prática os sinais de um Estado militar e policialesco no Brasil. Tiros, armas, a ideia falsa de que somente mili…"
